,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,TotalCharges
423,1,44,1,1,1,1,1,0,25.7,1110.5
424,0,10,2,2,2,0,0,0,40.7,449.3
425,0,55,0,0,0,0,0,0,51.65,2838.55
426,0,52,0,2,2,0,1,1,105.1,5376.4
427,1,10,0,0,0,0,0,0,85.95,858.6
428,0,18,0,0,0,0,0,1,75.6,1395.05
429,0,68,2,0,0,2,1,0,58.25,3975.7
430,1,61,1,1,1,1,0,1,19.4,1182.55
431,1,72,2,2,2,2,2,1,65.2,4784.45
432,0,2,2,0,2,0,0,0,53.45,119.5
433,0,12,0,0,0,0,0,1,45.4,518.9
434,0,41,1,1,1,1,2,1,19.75,899.45
435,0,26,0,0,2,2,0,1,44.45,1183.8
436,0,36,1,1,1,1,1,0,20.85,720.05
437,1,72,2,2,2,2,2,1,114.05,8468.2
438,0,35,0,0,0,2,0,1,89.85,3161.2
439,0,1,0,0,2,2,0,0,55.05,55.05
440,1,16,2,0,2,2,0,1,112.95,1882.55
441,0,49,2,0,0,0,0,0,101.55,5070.4
442,0,54,2,2,2,2,1,1,114.65,6049.5
443,1,18,2,0,0,0,0,0,64.8,1166.7
444,0,36,0,0,0,0,0,0,80.4,2937.65
445,0,60,0,2,2,0,0,1,105.9,6396.45
446,0,1,0,0,0,0,0,0,69.55,69.55
447,1,52,1,1,1,1,2,1,25.05,1270.25
448,1,8,0,0,2,0,0,1,94.75,759.55
449,1,72,2,2,0,2,2,0,105.5,7611.55
450,0,64,1,1,1,1,1,0,24.7,1642.75
451,0,22,2,0,2,2,0,1,69.75,1545.4
452,0,60,0,2,2,2,0,1,60.2,3582.4
453,1,28,0,0,0,0,0,1,81.05,2227.1
454,0,61,1,1,1,1,2,0,24.4,1417.9
455,0,24,0,2,2,0,0,1,104.15,2494.65
456,1,28,0,2,2,2,1,0,92.9,2768.35
457,1,30,0,2,2,2,2,0,80.8,2369.3
458,0,2,1,1,1,1,0,0,20.0,38.0
459,0,1,0,0,0,0,0,1,75.1,75.1
460,1,6,1,1,1,1,0,0,19.65,100.9
461,0,24,0,2,0,0,0,1,69.45,1614.05
462,1,4,0,0,2,0,0,0,101.15,385.9
463,0,7,0,2,0,0,0,1,99.8,673.25
464,0,72,2,2,2,2,2,1,116.05,8404.9
465,0,70,0,0,0,2,2,1,40.05,2799.75
466,0,64,0,0,2,2,2,0,102.1,6538.45
467,1,72,0,2,0,0,1,1,89.7,6588.95
468,1,44,1,1,1,1,2,0,19.9,868.1
469,1,13,0,0,0,0,0,0,55.95,734.35
470,0,17,1,1,1,1,1,0,20.65,330.6
471,0,1,0,0,0,0,0,1,55.0,55.0
472,0,9,0,0,2,0,0,1,70.05,564.4
473,0,24,2,0,0,2,0,0,53.6,1315.35
474,1,1,0,2,0,0,0,1,74.7,74.7
475,0,24,0,2,0,0,0,1,80.25,1861.5
476,1,35,0,2,0,2,0,1,76.05,2747.2
477,1,7,2,2,2,2,0,1,75.7,554.05
478,0,5,0,0,0,2,0,1,96.1,453.4
479,1,15,0,0,0,0,0,0,69.0,994.8
480,1,11,1,1,1,1,2,0,19.65,225.75
481,0,48,2,0,2,0,0,1,45.3,2145.0
482,0,20,0,0,0,0,0,1,81.45,1671.6
483,0,72,0,2,2,2,1,1,108.5,8003.8
484,1,8,0,2,0,0,0,1,83.55,680.05
485,1,72,0,0,0,0,2,1,84.5,6130.85
486,0,15,0,2,0,0,0,1,100.15,1415.0
487,0,72,0,2,2,2,2,1,88.6,6201.95
488,1,0,2,0,2,2,2,1,52.55,1397.475
489,1,1,0,0,0,0,0,1,74.35,74.35
490,1,63,0,2,2,0,2,1,104.8,6597.25
491,0,2,0,2,0,0,0,1,59.0,114.15
492,0,2,2,0,0,0,0,1,74.4,139.4
493,0,61,0,2,0,0,1,0,64.05,3902.6
494,0,1,1,1,1,1,0,0,20.4,20.4
495,0,22,0,2,2,0,1,1,43.75,903.6
496,0,28,2,2,0,2,0,0,60.9,1785.65
497,0,70,1,1,1,1,2,0,19.8,1397.65
498,0,5,0,2,0,0,0,0,28.45,131.05
499,0,12,2,2,2,0,0,1,99.7,1238.45
500,0,34,2,2,2,2,1,0,116.25,3899.05
501,0,71,2,0,0,0,2,1,80.7,5676.0
502,1,70,2,0,0,0,1,0,65.2,4543.15
503,1,52,2,0,2,2,0,1,84.05,4326.8
504,1,69,2,2,2,2,2,1,79.45,5502.55
505,0,20,0,2,2,0,0,1,94.1,1782.4
506,1,11,0,0,2,0,0,1,78.0,851.8
507,0,2,0,0,0,2,0,1,94.2,167.5
508,1,6,0,0,0,2,0,1,80.5,502.85
509,0,1,1,1,1,1,0,0,19.85,19.85
510,1,20,2,0,2,2,1,0,94.3,1818.3
511,0,61,2,0,2,0,0,1,106.45,6300.15
512,0,5,0,0,0,0,0,1,74.35,334.8
513,0,56,0,2,0,2,0,1,105.45,5916.95
514,0,30,2,2,2,2,0,1,95.0,2852.4
515,0,40,0,0,2,2,0,0,104.8,4131.95
516,0,28,2,0,0,2,1,0,54.3,1546.3
517,0,5,0,0,0,0,0,0,70.05,302.6
518,0,27,2,0,0,0,0,1,75.2,1929.35
519,0,12,1,1,1,1,0,0,20.05,265.45
